,Média,Minímo,Máximo,FFT Real,FFT Imaginário,class
0,305.1591796875,-3476.0,3145.0,11332.257144309147,-2.2737367544323206e-13,0
1,19.89404296875,-3654.0,4321.0,12496.597212926326,0.0,0
2,296.060546875,-3701.0,4180.0,12886.051282317414,0.0,0
3,617.6748046875,-3547.0,4654.0,11888.214176909627,2.2737367544323206e-13,0
4,313.8740234375,-3681.0,4748.0,13832.573825412384,0.0,0
5,663.076171875,-4187.0,4417.0,11338.054843441547,1.1368683772161603e-13,0
6,556.0078125,-3767.0,3994.0,12531.407363729006,-2.2737367544323206e-13,0
7,699.8935546875,-4272.0,4798.0,12595.321004358111,2.2737367544323206e-13,0
8,306.73779296875,-4132.0,4913.0,13684.869201195754,-4.547473508864641e-13,0
9,274.71533203125,-4000.0,4665.0,13280.87150387575,2.2737367544323206e-13,0
10,268.78857421875,-4023.0,4593.0,13147.657470505748,2.2737367544323206e-13,0
11,650.11083984375,-4091.0,4305.0,11789.206069765343,0.0,0
12,290.55224609375,-664.0,1464.0,6144.417065781969,5.684341886080802e-14,0
13,242.83837890625,-3652.0,3631.0,25070.191945566017,-3.410605131648481e-13,0
14,274.63134765625,-1662.0,1859.0,9631.64644231548,1.1368683772161603e-13,0
15,302.4921875,-1219.0,2066.0,9355.354747640555,-1.1368683772161603e-13,0
16,275.95166015625,-2749.0,4016.0,21641.380424036284,-4.547473508864641e-13,0
17,232.5,-1657.0,1979.0,11172.263724269735,-7.105427357601002e-14,0
18,268.96240234375,-1529.0,1688.0,8933.686800601394,4.263256414560601e-14,0
19,265.41943359375,-4822.0,4821.0,27991.68363031257,1.1368683772161603e-13,0
20,219.69580078125,-1806.0,2880.0,15820.11930582111,2.2737367544323206e-13,0
21,278.41455078125,-1717.0,2268.0,10324.994237270592,-2.842170943040401e-14,0
22,272.15087890625,-2832.0,2976.0,20208.7693097635,5.684341886080802e-14,0
23,237.36865234375,-2005.0,2171.0,13215.504162125108,-5.684341886080802e-14,0
24,261.20068359375,99.0,405.0,1374.3670416688083,0.0,1
25,268.70947265625,63.0,430.0,1450.5301450786237,1.0658141036401503e-14,1
26,275.33447265625,73.0,446.0,1473.5706967215492,-1.4210854715202004e-14,1
27,269.99560546875,90.0,429.0,1512.4180351112268,0.0,1
28,261.05224609375,102.0,381.0,1350.3118687286328,0.0,1
29,256.91064453125,106.0,410.0,1358.5260884665945,0.0,1
30,272.15185546875,109.0,441.0,1350.7102511698567,-7.105427357601002e-15,1
31,272.0810546875,57.0,571.0,1794.0646571983318,0.0,1
32,270.0927734375,71.0,414.0,1515.0839716688574,0.0,1
33,274.3779296875,123.0,397.0,1389.8870421346146,-1.7763568394002505e-15,1
34,265.06982421875,97.0,419.0,1501.6430741440518,7.105427357601002e-15,1
35,254.66748046875,115.0,421.0,1373.1995312529964,7.105427357601002e-15,1
36,255.6201171875,-1145.0,1844.0,10985.451318408475,1.7053025658242404e-13,1
37,251.19580078125,-4573.0,5236.0,31036.16879611998,1.7053025658242404e-13,1
38,264.28076171875,-834.0,1375.0,7497.711677942232,0.0,1
39,257.0595703125,-646.0,1197.0,6530.114728287264,-4.263256414560601e-14,1
40,249.15576171875,-4035.0,5014.0,23093.27015375105,-1.1368683772161603e-13,1
41,262.83544921875,-852.0,1452.0,7800.463280845261,8.526512829121202e-14,1
42,252.89208984375,-980.0,1535.0,7518.80442874308,7.105427357601002e-15,1
43,248.6708984375,-4009.0,4274.0,26221.535657517255,0.0,1
44,249.55517578125,-4256.0,4123.0,25176.99224234628,0.0,1
45,260.92041015625,-1286.0,1911.0,12578.623316412013,-1.1368683772161603e-13,1
46,259.01708984375,-3383.0,4599.0,24387.767857436884,2.2737367544323206e-13,1
47,256.62939453125,-1651.0,1993.0,11675.781351837551,0.0,1
48,56.66845703125,-6866.0,7426.0,17128.327221079868,2.2737367544323206e-13,2
49,-61.724609375,-4789.0,4737.0,13085.69018730708,-2.2737367544323206e-13,2
50,513.54248046875,-3637.0,4280.0,10202.776433313396,0.0,2
51,99.658203125,-4437.0,4392.0,12928.312786492963,2.2737367544323206e-13,2
52,327.31494140625,-1939.0,2584.0,7827.303566244917,-2.362554596402333e-13,2
53,245.0263671875,-4250.0,4948.0,11266.384667563096,-2.1316282072803006e-13,2
54,732.33837890625,-4085.0,5292.0,11021.81966150559,1.3322676295501878e-14,2
55,418.7998046875,-3961.0,3602.0,10834.774417312034,0.0,2
56,280.26708984375,-847.0,1334.0,4635.296859098909,-2.842170943040401e-14,2
57,637.09033203125,-4022.0,4319.0,11607.226192687278,-3.410605131648481e-13,2
58,278.02734375,-343.0,1099.0,3470.1261548848133,-5.684341886080802e-14,2
59,161.42431640625,-776.0,1450.0,4207.045958063694,5.684341886080802e-14,2
60,290.94384765625,-4380.0,5036.0,29080.75855230319,0.0,2
61,250.9775390625,-1938.0,2297.0,14787.854524804672,0.0,2
62,259.21630859375,-2558.0,3241.0,20741.092032126988,-5.684341886080802e-14,2
63,256.794921875,-1713.0,2251.0,13005.423536252714,4.263256414560601e-14,2
64,230.56103515625,-2168.0,2054.0,14902.446386051826,-8.526512829121202e-14,2
65,249.9921875,-741.0,1423.0,6861.50150964373,-5.684341886080802e-14,2
